year,month,TOTAL,ClimAdjust,ANOM
1992,5,28.97,27.8,1.16
1992,6,28.3,27.6,0.7
1992,7,27.51,27.19,0.33
1992,8,26.91,26.84,0.07
1992,9,26.66,26.78,-0.13
1992,10,26.42,26.76,-0.34
1992,11,26.42,26.7,-0.28
1992,12,26.45,26.66,-0.21
1993,1,26.7,26.59,0.1
1993,2,27.17,26.79,0.38
1993,3,27.68,27.28,0.4
1993,4,28.41,27.7,0.71
1993,5,28.71,27.8,0.91
1993,6,28.08,27.6,0.48
1993,7,27.52,27.19,0.33
1993,8,26.99,26.84,0.15
1993,9,27.07,26.78,0.29
1993,10,26.78,26.76,0.02
1993,11,26.71,26.7,0.01
1993,12,26.76,26.66,0.1
1994,1,26.65,26.59,0.06
1994,2,26.82,26.79,0.03
1994,3,27.39,27.28,0.11
1994,4,28.08,27.7,0.38
1994,5,28.24,27.8,0.43
1994,6,28.04,27.6,0.44
1994,7,27.54,27.19,0.35
1994,8,27.38,26.84,0.54
1994,9,27.19,26.78,0.41
1994,10,27.47,26.76,0.71
1994,11,27.81,26.7,1.11
1994,12,27.85,26.66,1.19
1995,1,27.57,26.59,0.98
1995,2,27.49,26.79,0.71
1995,3,27.76,27.28,0.48
1995,4,28.11,27.7,0.41
1995,5,27.83,27.8,0.02
1995,6,27.59,27.6,-0.01
1995,7,27.08,27.19,-0.11
1995,8,26.23,26.84,-0.61
1995,9,25.88,26.78,-0.9
1995,10,25.84,26.76,-0.92
1995,11,25.61,26.7,-1.1
1995,12,25.66,26.66,-1
1996,1,25.7,26.56,-0.86
1996,2,25.91,26.75,-0.85
1996,3,26.69,27.24,-0.56
1996,4,27.36,27.72,-0.36
1996,5,27.55,27.81,-0.26
1996,6,27.29,27.59,-0.3
1996,7,26.85,27.18,-0.32
1996,8,26.64,26.83,-0.2
1996,9,26.27,26.73,-0.45
1996,10,26.27,26.67,-0.4
1996,11,26.29,26.63,-0.34
1996,12,25.96,26.56,-0.61
1997,1,26.02,26.56,-0.54
1997,2,26.39,26.75,-0.36
1997,3,27.05,27.24,-0.2
1997,4,27.99,27.72,0.27
1997,5,28.58,27.81,0.76
1997,6,28.81,27.59,1.22
1997,7,28.85,27.18,1.67
1997,8,28.74,26.83,1.91
1997,9,28.84,26.73,2.12
1997,10,29.07,26.67,2.4
1997,11,29.11,26.63,2.48
1997,12,28.89,26.56,2.32
1998,1,28.93,26.56,2.37
1998,2,28.79,26.75,2.03
1998,3,28.63,27.24,1.38
1998,4,28.61,27.72,0.9
1998,5,28.52,27.81,0.7
1998,6,27.35,27.59,-0.24
1998,7,26.32,27.18,-0.86
1998,8,25.59,26.83,-1.25
1998,9,25.47,26.73,-1.26
1998,10,25.26,26.67,-1.41
1998,11,25.25,26.63,-1.38
1998,12,24.92,26.56,-1.64
1999,1,24.87,26.56,-1.69
1999,2,25.44,26.75,-1.31
1999,3,26.34,27.24,-0.9
1999,4,26.71,27.72,-1
1999,5,26.79,27.81,-1.02
1999,6,26.54,27.59,-1.05
1999,7,26.13,27.18,-1.05
1999,8,25.64,26.83,-1.19
1999,9,25.63,26.73,-1.09
1999,10,25.48,26.67,-1.19
1999,11,25.13,26.63,-1.5
1999,12,24.87,26.56,-1.7
